2025/04/06 19:35:087090 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:087101 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:087105 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81610]from %s127.0.0.1:39818 - TcpServer.cc:75
2025/04/06 19:35:087113 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81610]at fd=14 - TcpConnection.cc:52
2025/04/06 19:35:087123 INFO  func =>fd14events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:087141 INFO  HTTP Connection UP: 127.0.0.1:39818 - main.cc:96
2025/04/06 19:35:087148 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:087155 INFO  TcpConnection::handleClose fd=16state=3 - TcpConnection.cc:241
2025/04/06 19:35:087159 INFO  func =>fd16events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:087162 INFO  HTTP Connection DOWN: 127.0.0.1:39804 - main.cc:98
2025/04/06 19:35:087167 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81608 - TcpServer.cc:114
2025/04/06 19:35:087174 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:087237 INFO  removeChannel fd=16 - EPollPoller.cc:102
2025/04/06 19:35:087246 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81608]at fd=16state=0 - TcpConnection.cc:58
2025/04/06 19:35:087256 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:087261 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:087264 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:087276 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:087280 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81611]from %s127.0.0.1:39824 - TcpServer.cc:75
2025/04/06 19:35:087287 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81611]at fd=15 - TcpConnection.cc:52
2025/04/06 19:35:087297 INFO  func =>fd15events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:087304 INFO  HTTP Connection UP: 127.0.0.1:39824 - main.cc:96
2025/04/06 19:35:087309 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:087316 INFO  TcpConnection::handleClose fd=13state=3 - TcpConnection.cc:241
2025/04/06 19:35:087319 INFO  func =>fd13events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:087323 INFO  HTTP Connection DOWN: 127.0.0.1:39814 - main.cc:98
2025/04/06 19:35:087328 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81609 - TcpServer.cc:114
2025/04/06 19:35:087335 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:087392 INFO  removeChannel fd=13 - EPollPoller.cc:102
2025/04/06 19:35:087400 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81609]at fd=13state=0 - TcpConnection.cc:58
2025/04/06 19:35:087410 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:087415 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:087418 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:087429 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:087433 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81612]from %s127.0.0.1:39832 - TcpServer.cc:75
2025/04/06 19:35:087441 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81612]at fd=13 - TcpConnection.cc:52
2025/04/06 19:35:087451 INFO  func =>fd13events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:087458 INFO  HTTP Connection UP: 127.0.0.1:39832 - main.cc:96
2025/04/06 19:35:087462 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:087469 INFO  TcpConnection::handleClose fd=14state=3 - TcpConnection.cc:241
2025/04/06 19:35:087472 INFO  func =>fd14events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:087476 INFO  HTTP Connection DOWN: 127.0.0.1:39818 - main.cc:98
2025/04/06 19:35:087481 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81610 - TcpServer.cc:114
2025/04/06 19:35:087488 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:087545 INFO  removeChannel fd=14 - EPollPoller.cc:102
2025/04/06 19:35:087553 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81610]at fd=14state=0 - TcpConnection.cc:58
2025/04/06 19:35:087563 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:087568 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:087571 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:087583 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:087587 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81613]from %s127.0.0.1:39836 - TcpServer.cc:75
